filename	ATTRIBUTE_GF_SPF	ATTRIBUTE_UBERONBodyPartName	ATTRIBUTE_concat
GF3_Adrenal1_BF3_01_22273.mzXML	GF	Adrenal_gland	GF_Adrenal_gland
GF3_Adrenal2_BF4_01_22274.mzXML	GF	Adrenal_gland	GF_Adrenal_gland
GF4_Adrenal1_BF3_01_22499.mzXML	GF	Adrenal_gland	GF_Adrenal_gland
GF4_Adrenal2_BF4_01_22500.mzXML	GF	Adrenal_gland	GF_Adrenal_gland
SPF1_Adrenal1_BF3_01_21919.mzXML	SPF	Adrenal_gland	SPF_Adrenal_gland
SPF1_Adrenal2_BF4_01_21920.mzXML	SPF	Adrenal_gland	SPF_Adrenal_gland
SPF2_Adrenal1_GF3_01_22160.mzXML	SPF	Adrenal_gland	SPF_Adrenal_gland
SPF2_Adrenal2_GF4_01_22161.mzXML	SPF	Adrenal_gland	SPF_Adrenal_gland
SPF3_Adrenal1_GF3_01_22386.mzXML	SPF	Adrenal_gland	SPF_Adrenal_gland
SPF3_Adrenal2_GF4_01_22387.mzXML	SPF	Adrenal_gland	SPF_Adrenal_gland
SPF4_Adrenal1_GF3_01_22612.mzXML	SPF	Adrenal_gland	SPF_Adrenal_gland
SPF4_Adrenal2_GF4_01_22613.mzXML	SPF	Adrenal_gland	SPF_Adrenal_gland
GF1_Adrenal1_GF3_01_21803.mzXML	GF	Adrenal_gland	GF_Adrenal_gland
GF1_Adrenal2_GF4_01_21804.mzXML	GF	Adrenal_gland	GF_Adrenal_gland
GF2_Adrenal1_BF3_01_22047.mzXML	GF	Adrenal_gland	GF_Adrenal_gland
GF2_Adrenal2_BF4_01_22048.mzXML	GF	Adrenal_gland	GF_Adrenal_gland
GF_bedding_GA2_01_21961.mzXML	GF	Bedding	GF_Bedding
SPF_bedding_GA1_01_21960.mzXML	SPF	Bedding	SPF_Bedding
GF1_Bladder_GE10_01_21796.mzXML	GF	Bladder	GF_Bladder
GF2_Bladder_BE10_01_22040.mzXML	GF	Bladder	GF_Bladder
GF3_Bladder_BE10_01_22266.mzXML	GF	Bladder	GF_Bladder
GF4_Bladder_BE10_01_22492.mzXML	GF	Bladder	GF_Bladder
SPF1_Bladder_BE10_01_21912.mzXML	SPF	Bladder	SPF_Bladder
SPF2_Bladder_GE10_01_22153.mzXML	SPF	Bladder	SPF_Bladder
SPF3_Bladder_GE10_01_22379.mzXML	SPF	Bladder	SPF_Bladder
SPF4_Bladder_GE10_01_22605.mzXML	SPF	Bladder	SPF_Bladder
GF1_Blood_GA2_01_21729.mzXML	GF	Blood	GF_Blood
GF1_Blood_GA2_01_21730.mzXML	GF	Blood	GF_Blood
GF2_Blood_BA2_01_21975.mzXML	GF	Blood	GF_Blood
GF3_Blood_BA2_01_22202.mzXML	GF	Blood	GF_Blood
GF4_Blood_BA2_01_22428.mzXML	GF	Blood	GF_Blood
SPF1_Blood_BA2_01_21846.mzXML	SPF	Blood	SPF_Blood
SPF2_Blood_GA2_01_22088.mzXML	SPF	Blood	SPF_Blood
SPF2_Blood_GA2_01_22089.mzXML	SPF	Blood	SPF_Blood
SPF3_Blood_GA2_01_22314.mzXML	SPF	Blood	SPF_Blood
SPF3_Blood_GA2_01_22315.mzXML	SPF	Blood	SPF_Blood
SPF4_Blood_GA2_01_22541.mzXML	SPF	Blood	SPF_Blood
GF1_Brain1_GH9_01_21837.mzXML	GF	Brain	GF_Brain
GF1_Brain2_GH10_01_21838.mzXML	GF	Brain	GF_Brain
GF1_Brain3_GH11_01_21839.mzXML	GF	Brain	GF_Brain
GF1_Brain4_GH12_01_21840.mzXML	GF	Brain	GF_Brain
GF2_Brain1_BH9_01_22081.mzXML	GF	Brain	GF_Brain
GF2_Brain2_BH10_01_22082.mzXML	GF	Brain	GF_Brain
GF2_Brain3_BH11_01_22083.mzXML	GF	Brain	GF_Brain
GF2_Brain4_BH12_01_22084.mzXML	GF	Brain	GF_Brain
GF3_Brain1_BH9_01_22307.mzXML	GF	Brain	GF_Brain
GF3_Brain2_BH10_01_22308.mzXML	GF	Brain	GF_Brain
GF3_Brain3_BH11_01_22309.mzXML	GF	Brain	GF_Brain
GF3_Brain4_BH12_01_22310.mzXML	GF	Brain	GF_Brain
GF4_Brain1_BH9_01_22533.mzXML	GF	Brain	GF_Brain
GF4_Brain2_BH10_01_22534.mzXML	GF	Brain	GF_Brain
GF4_Brain3_BH11_01_22535.mzXML	GF	Brain	GF_Brain
GF4_Brain4_BH12_01_22536.mzXML	GF	Brain	GF_Brain
SPF1_Brain1_BH9_01_21953.mzXML	SPF	Brain	SPF_Brain
SPF1_Brain2_BH10_01_21954.mzXML	SPF	Brain	SPF_Brain
SPF1_Brain3_BH11_01_21955.mzXML	SPF	Brain	SPF_Brain
SPF1_Brain4_BH12_01_21956.mzXML	SPF	Brain	SPF_Brain
SPF2_Brain1_GH9_01_22194.mzXML	SPF	Brain	SPF_Brain
SPF2_Brain2_GH10_01_22195.mzXML	SPF	Brain	SPF_Brain
SPF2_Brain3_GH11_01_22196.mzXML	SPF	Brain	SPF_Brain
SPF2_Brain4_GH12_01_22197.mzXML	SPF	Brain	SPF_Brain
SPF3_Brain1_GH9_01_22420.mzXML	SPF	Brain	SPF_Brain
SPF3_Brain2_GH10_01_22421.mzXML	SPF	Brain	SPF_Brain
SPF3_Brain3_GH11_01_22422.mzXML	SPF	Brain	SPF_Brain
SPF3_Brain4_GH12_01_22423.mzXML	SPF	Brain	SPF_Brain
SPF4_Brain1_GH9_01_22647.mzXML	SPF	Brain	SPF_Brain
SPF4_Brain2_GH10_01_22648.mzXML	SPF	Brain	SPF_Brain
SPF4_Brain3_GH11_01_22649.mzXML	SPF	Brain	SPF_Brain
SPF4_Brain4_GH12_01_22650.mzXML	SPF	Brain	SPF_Brain
GF1_Cecum1_GD10_01_21781.mzXML	GF	Cecum	GF_Cecum
GF1_Cecum2_GD11_01_21782.mzXML	GF	Cecum	GF_Cecum
GF1_Cecum3_GD12_01_21783.mzXML	GF	Cecum	GF_Cecum
GF1_Cecum4_GE1_01_21786.mzXML	GF	Cecum	GF_Cecum
GF1_Cecum5_GE2_01_21787.mzXML	GF	Cecum	GF_Cecum
GF1_Cecum6_GE3_01_21788.mzXML	GF	Cecum	GF_Cecum
GF2_Cecum1_BD10_01_22026.mzXML	GF	Cecum	GF_Cecum
GF2_Cecum2_BD11_01_22027.mzXML	GF	Cecum	GF_Cecum
GF2_Cecum3_BD12_01_22028.mzXML	GF	Cecum	GF_Cecum
GF2_Cecum4_BE1_01_22031.mzXML	GF	Cecum	GF_Cecum
GF2_Cecum5_BE2_01_22032.mzXML	GF	Cecum	GF_Cecum
GF2_Cecum6_BE3_01_22033.mzXML	GF	Cecum	GF_Cecum
GF3_Cecum1_BD10_01_22252.mzXML	GF	Cecum	GF_Cecum
GF3_Cecum2_BD11_01_22253.mzXML	GF	Cecum	GF_Cecum
GF3_Cecum3_BD12_01_22254.mzXML	GF	Cecum	GF_Cecum
GF3_Cecum4_BE1_01_22257.mzXML	GF	Cecum	GF_Cecum
GF3_Cecum5_BE2_01_22258.mzXML	GF	Cecum	GF_Cecum
GF3_Cecum6_BE3_01_22259.mzXML	GF	Cecum	GF_Cecum
GF4_Cecum1_BD10_01_22478.mzXML	GF	Cecum	GF_Cecum
GF4_Cecum2_BD11_01_22479.mzXML	GF	Cecum	GF_Cecum
GF4_Cecum3_BD12_01_22480.mzXML	GF	Cecum	GF_Cecum
GF4_Cecum4_BE1_01_22483.mzXML	GF	Cecum	GF_Cecum
GF4_Cecum5_BE2_01_22484.mzXML	GF	Cecum	GF_Cecum
GF4_Cecum6_BE3_01_22485.mzXML	GF	Cecum	GF_Cecum
SPF1_Cecum1_BD10_01_21898.mzXML	SPF	Cecum	SPF_Cecum
SPF1_Cecum2_BD11_01_21899.mzXML	SPF	Cecum	SPF_Cecum
SPF1_Cecum3_BD12_01_21900.mzXML	SPF	Cecum	SPF_Cecum
SPF1_Cecum4_BE1_01_21903.mzXML	SPF	Cecum	SPF_Cecum
SPF1_Cecum5_BE2_01_21904.mzXML	SPF	Cecum	SPF_Cecum
SPF1_Cecum6_BE3_01_21905.mzXML	SPF	Cecum	SPF_Cecum
SPF2_Cecum1_GD10_01_22139.mzXML	SPF	Cecum	SPF_Cecum
SPF2_Cecum2_GD11_01_22140.mzXML	SPF	Cecum	SPF_Cecum
SPF2_Cecum3_GD12_01_22141.mzXML	SPF	Cecum	SPF_Cecum
SPF2_Cecum4_GE1_01_22144.mzXML	SPF	Cecum	SPF_Cecum
SPF2_Cecum5_GE2_01_22145.mzXML	SPF	Cecum	SPF_Cecum
SPF2_Cecum6_GE3_01_22146.mzXML	SPF	Cecum	SPF_Cecum
SPF3_Cecum1_GD10_01_22365.mzXML	SPF	Cecum	SPF_Cecum
SPF3_Cecum2_GD11_01_22366.mzXML	SPF	Cecum	SPF_Cecum
SPF3_Cecum3_GD12_01_22367.mzXML	SPF	Cecum	SPF_Cecum
SPF3_Cecum4_GE1_01_22370.mzXML	SPF	Cecum	SPF_Cecum
SPF3_Cecum5_GE2_01_22371.mzXML	SPF	Cecum	SPF_Cecum
SPF3_Cecum6_GE3_01_22372.mzXML	SPF	Cecum	SPF_Cecum
SPF4_Cecum1_GD10_01_22591.mzXML	SPF	Cecum	SPF_Cecum
SPF4_Cecum2_GD11_01_22592.mzXML	SPF	Cecum	SPF_Cecum
SPF4_Cecum3_GD12_01_22593.mzXML	SPF	Cecum	SPF_Cecum
SPF4_Cecum4_GE1_01_22596.mzXML	SPF	Cecum	SPF_Cecum
SPF4_Cecum5_GE2_01_22597.mzXML	SPF	Cecum	SPF_Cecum
SPF4_Cecum6_GE3_01_22598.mzXML	SPF	Cecum	SPF_Cecum
GF1_Cervix_GG2_01_21816.mzXML	GF	Cervix	GF_Cervix
GF2_Cervix_BG2_01_22060.mzXML	GF	Cervix	GF_Cervix
GF3_Cervix_BG2_01_22286.mzXML	GF	Cervix	GF_Cervix
GF4_Cervix_BG2_01_22512.mzXML	GF	Cervix	GF_Cervix
SPF1_Cervix_BG2_01_21932.mzXML	SPF	Cervix	SPF_Cervix
SPF2_Cervix_GG2_01_22173.mzXML	SPF	Cervix	SPF_Cervix
SPF3_Cervix_GG2_01_22399.mzXML	SPF	Cervix	SPF_Cervix
SPF4_Cervix_GG2_01_22625.mzXML	SPF	Cervix	SPF_Cervix
GF1_Colon1_GE4_01_21789.mzXML	GF	Colon	GF_Colon
GF1_Colon2_GE5_01_21790.mzXML	GF	Colon	GF_Colon
GF1_Colon3_GE6_01_21791.mzXML	GF	Colon	GF_Colon
GF1_Colon3_GE6_01_21792.mzXML	GF	Colon	GF_Colon
GF1_Colon4_GE7_01_21793.mzXML	GF	Colon	GF_Colon
GF1_Colon5_GE8_01_21794.mzXML	GF	Colon	GF_Colon
GF1_Colon6_GE9_01_21795.mzXML	GF	Colon	GF_Colon
GF2_Colon1_BE4_01_22034.mzXML	GF	Colon	GF_Colon
GF2_Colon2_BE5_01_22035.mzXML	GF	Colon	GF_Colon
GF2_Colon3_BE6_01_22036.mzXML	GF	Colon	GF_Colon
GF2_Colon4_BE7_01_22037.mzXML	GF	Colon	GF_Colon
GF2_Colon5_BE8_01_22038.mzXML	GF	Colon	GF_Colon
GF2_Colon6_BE9_01_22039.mzXML	GF	Colon	GF_Colon
GF3_Colon1_BE4_01_22260.mzXML	GF	Colon	GF_Colon
GF3_Colon2_BE5_01_22261.mzXML	GF	Colon	GF_Colon
GF3_Colon3_BE6_01_22262.mzXML	GF	Colon	GF_Colon
GF3_Colon4_BE7_01_22263.mzXML	GF	Colon	GF_Colon
GF3_Colon5_BE8_01_22264.mzXML	GF	Colon	GF_Colon
GF3_Colon6_BE9_01_22265.mzXML	GF	Colon	GF_Colon
GF4_Colon1_BE4_01_22486.mzXML	GF	Colon	GF_Colon
GF4_Colon2_BE5_01_22487.mzXML	GF	Colon	GF_Colon
GF4_Colon3_BE6_01_22488.mzXML	GF	Colon	GF_Colon
GF4_Colon4_BE7_01_22489.mzXML	GF	Colon	GF_Colon
GF4_Colon5_BE8_01_22490.mzXML	GF	Colon	GF_Colon
GF4_Colon6_BE9_01_22491.mzXML	GF	Colon	GF_Colon
SPF1_Colon1_BE4_01_21906.mzXML	SPF	Colon	SPF_Colon
SPF1_Colon2_BE5_01_21907.mzXML	SPF	Colon	SPF_Colon
SPF1_Colon3_BE6_01_21908.mzXML	SPF	Colon	SPF_Colon
SPF1_Colon4_BE7_01_21909.mzXML	SPF	Colon	SPF_Colon
SPF1_Colon5_BE8_01_21910.mzXML	SPF	Colon	SPF_Colon
SPF1_Colon6_BE9_01_21911.mzXML	SPF	Colon	SPF_Colon
SPF2_Colon1_GE4_01_22147.mzXML	SPF	Colon	SPF_Colon
